Objects
100
,,Global Angle cup:cup,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,0.003474,-0.004371,-0.002946,-68.421654,9.140722,480.171295
2,0,0.003651,-0.004491,-0.002774,-68.426163,9.150672,480.154816
3,0,0.003615,-0.004426,-0.002849,-68.428169,9.160257,480.149292
4,0,0.003632,-0.004487,-0.002773,-68.423668,9.155249,480.148529
5,0,0.003543,-0.004467,-0.002737,-68.420799,9.159825,480.146271
6,0,0.003622,-0.004336,-0.002906,-68.416550,9.151178,480.153961
7,0,0.003680,-0.004349,-0.002817,-68.414146,9.155123,480.160034
8,0,0.003641,-0.004485,-0.002830,-68.414536,9.159017,480.170959
9,0,0.003607,-0.004464,-0.002846,-68.409004,9.150689,480.163177
10,0,0.003586,-0.004430,-0.002983,-68.417290,9.140736,480.154388
11,0,0.003651,-0.004486,-0.002933,-68.414948,9.151972,480.151154
12,0,0.003651,-0.004490,-0.002885,-68.421562,9.160131,480.154175
13,0,0.003491,-0.004478,-0.002901,-68.420326,9.155643,480.159363
14,0,0.003671,-0.004475,-0.003034,-68.408401,9.147299,480.152283
15,0,0.003609,-0.004490,-0.003054,-68.401825,9.139396,480.147247
16,0,0.003562,-0.004416,-0.002881,-68.405289,9.148105,480.152832
17,0,0.003661,-0.004499,-0.002850,-68.404816,9.145197,480.165680
18,0,0.003553,-0.004428,-0.002916,-68.406563,9.154686,480.167419
19,0,0.003677,-0.004599,-0.002852,-68.403831,9.152959,480.163116
20,0,0.003653,-0.004449,-0.002884,-68.412956,9.143921,480.163300
21,0,0.003634,-0.004483,-0.002916,-68.413223,9.143244,480.160187
22,0,0.003629,-0.004444,-0.002876,-68.417183,9.157169,480.155792
23,0,0.003622,-0.004559,-0.002873,-68.412315,9.165227,480.159363
24,0,0.003751,-0.004468,-0.003044,-68.419487,9.153886,480.164856
25,0,0.003712,-0.004546,-0.002948,-68.412582,9.142644,480.167175
26,0,0.003625,-0.004464,-0.002966,-68.408363,9.136407,480.169098
27,0,0.003631,-0.004505,-0.002629,-68.413307,9.149715,480.172089
28,0,0.003642,-0.004555,-0.003034,-68.416023,9.161304,480.174194
29,0,0.003707,-0.004521,-0.002729,-68.417908,9.146897,480.163605
30,0,0.003569,-0.004496,-0.002588,-68.410477,9.143548,480.172241
31,0,0.003657,-0.004548,-0.002850,-68.411301,9.146926,480.173676
32,0,0.003646,-0.004409,-0.002827,-68.422417,9.155203,480.165710
33,0,0.003539,-0.004499,-0.002713,-68.411957,9.147665,480.161835
34,0,0.003580,-0.004418,-0.002869,-68.416794,9.153330,480.166412
35,0,0.003512,-0.004518,-0.002783,-68.423325,9.146870,480.169556
36,0,0.003504,-0.004457,-0.002819,-68.424255,9.143625,480.176880
37,0,0.003645,-0.004442,-0.002867,-68.416710,9.150685,480.175507
38,0,0.003555,-0.004442,-0.002825,-68.421112,9.150635,480.167114
39,0,0.003792,-0.004525,-0.002976,-68.418732,9.153432,480.164978
40,0,0.003631,-0.004463,-0.002931,-68.428719,9.153147,480.171234
41,0,0.003584,-0.004506,-0.002996,-68.416252,9.142447,480.171295
42,0,0.003667,-0.004453,-0.002817,-68.417404,9.145079,480.168304
43,0,0.003771,-0.004429,-0.002961,-68.425171,9.148895,480.169525
44,0,0.003582,-0.004550,-0.002755,-68.415245,9.138619,480.175079
45,0,0.003709,-0.004517,-0.002827,-68.424973,9.144321,480.170990
46,0,0.003673,-0.004561,-0.002983,-68.417610,9.150129,480.168579
47,0,0.003613,-0.004438,-0.002812,-68.419098,9.142911,480.170807
